CustomerID,Lookalikes
C0001,"[('C0039', 0.8965344367652106), ('C0190', 0.8884691964663869), ('C0096', 0.8872706449417719)]"
C0002,"[('C0173', 0.9129770184473477), ('C0022', 0.8841360179639876), ('C0162', 0.8449190544679043)]"
C0003,"[('C0181', 0.9055768454266908), ('C0085', 0.8938226899339603), ('C0104', 0.8883098011373014)]"
C0004,"[('C0118', 0.9413866751932005), ('C0181', 0.9248516293696558), ('C0085', 0.903419641501215)]"
C0005,"[('C0162', 0.8738516333428843), ('C0021', 0.8524505393361899), ('C0007', 0.851983354157646)]"
C0006,"[('C0187', 0.9232472021183896), ('C0191', 0.8789525368509675), ('C0171', 0.8582337416340725)]"
C0007,"[('C0045', 0.8856201262844331), ('C0005', 0.851983354157646), ('C0093', 0.847971462244482)]"
C0008,"[('C0154', 0.9277840881923083), ('C0189', 0.923615616599961), ('C0122', 0.9211016786665818)]"
C0009,"[('C0062', 0.8473357797808653), ('C0105', 0.8417873097377256), ('C0114', 0.79361061846087)]"
C0010,"[('C0141', 0.8330964902649898), ('C0114', 0.7850165463267241), ('C0135', 0.7682917899550642)]"
C0011,"[('C0087', 0.8971220549196873), ('C0188', 0.8920559087665441), ('C0153', 0.8860421755499732)]"
C0012,"[('C0076', 0.9340573838595541), ('C0148', 0.9135279679088414), ('C0152', 0.8982010423324387)]"
C0013,"[('C0102', 0.9381272731182402), ('C0169', 0.9093625553612159), ('C0153', 0.9055480690843613)]"
C0014,"[('C0128', 0.7285048594814185), ('C0086', 0.6975634629312273), ('C0170', 0.6785476968103823)]"
C0015,"[('C0065', 0.8845724412545667), ('C0047', 0.8819970969698024), ('C0185', 0.8744662350531636)]"
C0016,"[('C0046', 0.9003201908013605), ('C0067', 0.8897816978068859), ('C0183', 0.8705514227830096)]"
C0017,"[('C0164', 0.9192425083627698), ('C0041', 0.908224988106816), ('C0172', 0.8746517931712054)]"
C0018,"[('C0047', 0.9434417057872995), ('C0068', 0.935475488804979), ('C0156', 0.9213101786683993)]"
C0019,"[('C0070', 0.9260291850888462), ('C0075', 0.8856336123126292), ('C0057', 0.8819193202614818)]"
C0020,"[('C0050', 0.9119960330278623), ('C0026', 0.857465080219135), ('C0068', 0.8494384673294215)]"
